"PredictClose","ActualClose"
"153.18008422851562","168.74000549316406"
"163.24124145507812","169.99000549316406"
"160.99642944335938","167.13999938964844"
"157.2230224609375","166.0"
"157.1558837890625","161.30999755859375"
"155.36343383789062","161.47000122070312"
"154.73068237304688","157.7100067138672"
"153.15570068359375","162.9199981689453"
"154.4493408203125","158.3000030517578"
"153.39077758789062","161.77999877929688"
"154.20150756835938","160.6199951171875"
"154.15707397460938","158.39999389648438"
"153.28460693359375","157.30999755859375"
"152.47157287597656","157.97000122070312"
"152.39840698242188","154.1300048828125"
"150.95294189453125","151.77000427246094"
"149.41163635253906","155.4600067138672"
"150.19454956054688","154.8699951171875"
"150.42691040039062","154.6999969482422"
"150.46861267089844","154.0"
"150.20199584960938","154.83999633789062"
"150.40005493164062","161.57000732421875"
"153.10882568359375","163.4199981689453"
"155.01022338867188","164.14999389648438"
"156.01025390625","169.07000732421875"
"158.2052764892578","164.83999633789062"
"157.45367431640625","167.77999877929688"
"158.1494140625","168.27000427246094"
"158.60171508789062","166.88999938964844"
"158.2568359375","168.75"
"158.7747802734375","170.52999877929688"
"159.66180419921875","173.6300048828125"
"161.19017028808594","173.33999633789062"
"161.6870880126953","171.69000244140625"
"161.22445678710938","174.0"
"161.84776306152344","176.77999877929688"
"163.14309692382812","177.58999633789062"
"163.9683837890625","175.64999389648438"
"163.5460205078125","178.8000030517578"
"164.49215698242188","180.9600067138672"
"165.66244506835938","180.11000061035156"
"165.7991485595703","181.42999267578125"
"166.29318237304688","179.9499969482422"
"165.91256713867188","176.80999755859375"
"164.58489990234375","175.39999389648438"
"163.50856018066406","170.0800018310547"
"161.13626098632812","172.47000122070312"
"161.04977416992188","171.86000061035156"
"160.88613891601562","170.63999938964844"
"160.423583984375","170.19000244140625"
"160.08273315429688","166.77000427246094"
"158.6900634765625","166.32000732421875"
"157.9456787109375","163.8300018310547"
"156.7476806640625","166.77999877929688"
"157.3936767578125","163.27000427246094"
"156.4198760986328","161.99000549316406"
"155.51873779296875","160.66000366210938"
"154.64599609375","158.6199951171875"
"153.53469848632812","159.88999938964844"
"153.57115173339844","158.1199951171875"
"152.97714233398438","155.3699951171875"
"151.683349609375","155.75"
"151.26531982421875","155.8300018310547"
"151.17123413085938","157.27999877929688"
"151.73016357421875","157.97000122070312"
"152.26556396484375","158.63999938964844"
"152.74656677246094","161.3000030517578"
"153.95501708984375","166.2899932861328"
"156.37464904785156","159.8000030517578"
"154.8891143798828","158.08999633789062"
"153.4881591796875","154.55999755859375"
"151.51885986328125","155.77999877929688"
"151.1448211669922","159.38999938964844"
"152.46282958984375","155.0"
"151.43136596679688","153.1699981689453"
"150.22064208984375","154.61000061035156"
"150.2376708984375","154.61000061035156"
"150.31643676757812","154.89999389648438"
"150.4913787841797","155.35000610351562"
"150.75076293945312","153.52000427246094"
"150.1610107421875","152.1699981689453"
"149.36138916015625","150.5399932861328"
"148.3861083984375","150.61000061035156"
"148.00418090820312","151.8000030517578"
"148.34774780273438","151.74000549316406"
"148.52064514160156","154.8300018310547"
"149.79612731933594","153.77000427246094"
"149.95370483398438","153.27000427246094"
"149.7753448486328","153.24000549316406"
"149.65277099609375","152.3300018310547"
"149.24517822265625","154.5"
"149.901611328125","149.92999267578125"
"148.45785522460938","151.7100067138672"
"148.4505615234375","154.13999938964844"
"149.4422607421875","156.58999633789062"
"150.869384765625","159.7899932861328"
"152.71316528320312","160.6300048828125"
"153.7796630859375","160.6199951171875"
"154.15005493164062","158.19000244140625"
"153.31195068359375","155.5"
"151.87481689453125","156.42999267578125"
"151.59228515625","156.2899932861328"
"151.47625732421875","158.5800018310547"
"152.33746337890625","158.9199981689453"
"152.86874389648438","161.75999450683594"
"154.16635131835938","157.6699981689453"
"153.14364624023438","157.89999389648438"
"152.71755981445312","156.92999267578125"
"152.16961669921875","158.89999389648438"
"152.70762634277344","157.63999938964844"
"152.4993438720703","158.5"
"152.72637939453125","150.02999877929688"
"149.6006622314453","152.6199951171875"
"149.1292266845703","153.0399932861328"
"149.20809936523438","151.8000030517578"
"148.84158325195312","150.63999938964844"
"148.23753356933594","149.9499969482422"
"147.70950317382812","145.77999877929688"
"145.88436889648438","143.16000366210938"
"144.0347442626953","145.63999938964844"
"144.2139892578125","144.0399932861328"
"143.80616760253906","144.42999267578125"
"143.79196166992188","144.3300018310547"
"143.7735595703125","142.16000366210938"
"142.9228515625","142.22999572753906"
"142.54635620117188","136.49000549316406"
"140.13916015625","137.5"
"139.3672637939453","136.58999633789062"
"138.71676635742188","136.35000610351562"
"138.34881591796875","135.3800048828125"
"137.77703857421875","136.22999572753906"
"137.8737030029297","137.5"
"138.49472045898438","135.0500030517578"
"137.74099731445312","135.0"
"137.3275909423828","134.88999938964844"
"137.12184143066406","136.75999450683594"
"137.86904907226562","138.07000732421875"
"138.82305908203125","137.9499969482422"
"139.20590209960938","140.36000061035156"
"140.38833618164062","141.88999938964844"
"141.57833862304688","146.5500030517578"
"143.89999389648438","147.2100067138672"
"145.16891479492188","147.42999267578125"
"145.71475219726562","154.6999969482422"
"148.72732543945312","158.86000061035156"
"151.65628051757812","155.1999969482422"
"151.38958740234375","157.0"
"151.80172729492188","156.07000732421875"
"151.57327270507812","156.07000732421875"
"151.44036865234375","153.7899932861328"
"150.4996337890625","152.8000030517578"
"149.687744140625","155.69000244140625"
"150.45916748046875","161.22000122070312"
"152.9996337890625","159.22000122070312"
"153.3456268310547","162.27999877929688"
"154.5723876953125","160.3800048828125"
"154.32945251464844","161.67999267578125"
"154.66677856445312","165.39999389648438"
